151  1297	1	879542847
262	270	3	879961283
218	410	3	881288574
372	219	5	876869481
213	204	5	878956130
77	276	2	884732991
7	8	5	891351328
299	582	2	889502159
145	752	4	888396828
205	258	3	888284313
106	1	4	881449487
314	138	5	877890960
346	237	4	874949086
286	1503	3	877534107
339	101	3	891034626
293	31	2	888906244
180	69	4	877355568
347	317	1	881654409
237	153	3	879376698
295	154	5	879517801
216	204	4	881432523
291	1046	4	874834875
334	1172	3	891545852
329	258	3	891656639
146	262	4	891457714
144	194	5	888105287
92	531	4	875653121
313	487	3	891016378
315	46	4	879799526
344	106	2	884900583
270	1014	4	876954062
230	969	4	880484476
90	1101	4	891384570
276	234	5	880913767
325	168	3	891478796
15	754	5	879455080
324	298	5	880575493
73	48	2	888625785
232	315	5	888364663
328	98	4	885045899
